KPI ID,Sector,Sub-sector,SP/EF,Indicator Name,Definition,Disaggregation,Unit of measurement,Type of measurement
112,Education,Education,"SP 5 - Values, power and inclusion",Number of National Society branches with education programming.,"Any National Society branch engaged in any of the following education-related type of work: - the delivery/provision of educational interventions (i.e., a learning session of any duration, with a desired learning outcome, delivered either as part of the curriculum or as an extra-curricular activity. It can target children, adolescents, young adults, students, teachers or other education personnel (including professional teachers, volunteer/incentive teachers, non-professional community facilitators, education authorities or administrators (e.g., headmasters), school counsellors/psychologists, education assistants, school supervisors/monitors, etc.). It can be on any topic of RCRC expertise such as first aid, health, water, sanitation or hygiene, international humanitarian law, humanitarian principles and values, humanitarian action (including RCRC history and emblems, disaster law and auxiliary role), comprehensive school safety, (including climate and environmental change, risk reduction, emergency preparedness or anticipatory action), protection, gender or inclusion (including safeguarding, child protection, gender-based violence, sexual exploitation and abuse, discrimination, bullying, child marriage, recruitment to armed forces, harmful practices, social exclusion, violence prevention, mediation, gender equality, case identification and safe referral), mental health or psycho-social support (including socio-emotional learning and life skills), or foundational subject matters (e.g., literacy, numeracy, sciences (including computer sciences));- interventions contributing to facilitate access to/continuity of education (e.g., the (re)construction, rehabilitation or improvement of schools or other educational spaces or of water and sanitation facilities in or nearby schools or other educational spaces; the distribution of educational or recreational kits, supplies or equipment [e.g., school furniture (e.g., tables, chairs, desks, boards), school uniforms (including clothes and shoes), teaching and learning materials (e.g., resources, school kits including stationery (e.g., pens, pencils, etc.), textbooks, guides, etc.), connectivity and assistive devices (e.g., tech devices such as laptops or tablets, hearing aids, glasses, etc.), sports equipment, games, colouring or painting materials, etc.]; scholarships, cash or voucher assistance for education (e.g., purchase of transportation tickets or of educational or recreational supplies/equipment, payment of tuition or exam fees or of school meals); the distribution of daily meals or snacks or take-away food rations in schools or other educational spaces; the distribution of hygiene items or packages (e.g., dignity kits, disinfection, soap, toothbush or other personal hygiene items including gender-specific ones) in schools or other educational spaces; the establishment or running of (temporary) safe spaces for learning, psychosocial support or recreation purposes (e.g., child-friendly spaces, transitional learning spaces); the establishment or running of schools or other educational spaces; the provision of (functional) literacy or numeracy classes, foreign language courses, remedial or catch-up classes; homework assistance or other forms of schooling support (e.g., to learners with disabilities); the provision of formal or non-formal technical, vocational or professional education and training; the provision of MHPSS services to students, teachers or other education personnel; safe transportation services from/to schools or other educational spaces; the tracing of documents required for school enrolment or continuing education; advocacy for safe, continued or equitable access to education (e.g., for the protection of schools or other educational spaces from attacks or military use, for the limited use of schools or other educational spaces as temporary evacuation or accommodation centers or for other purposes than education (e.g., quarantine, medical treatment, elections), for inclusive curricula, educational resources or pedagogical approaches).","Type of education-related work (i.e., delivery/provision, access/continuity)",Organization,Number
114,Cash and voucher assistance,Cash and voucher assistance,SP 2- Disasters and crises ,Number of National Societies implementing cash voucher assistance programmes.,"Implementing: The active process of planning, executing, and managing Cash Voucher Assistance programmes, including the distribution of cash or vouchers to beneficiaries.",,NS,Number
121,"Disaster risk reduction
Climate and environment","Disaster risk reduction
Environmental sustainability",SP 2- Disasters and crises ,Number of National Societies that perform environmental risk analysis for their programmes and/or operations.,National Societies who carry out environmental screening or similar process (using tools like NEAT+) in their projects; or who have integrated a similar step into their own project planning / emergency processes.,,NS,Number
124,PGI,PGI,"SP 5 - Values, power and inclusion","Number of assessments and analysis carried out incorporating protection, gender & diversity and inclusion considerations as part of emergency operations.","Incorporating Protection, Gender, and Inclusion (PGI) Considerations: including questions related to addressing all forms of violence, discrimination, and exclusion towards marginalised groups. Ideally and typically this would be incorporated using the tools based on the IFRC PGI minimum standards for emergency operations: 2.4 PGI assessment and analysis guidance; 2.4.1 PGI assessment question library. Questions can be incorporated from other reliable sources which address the same themes, defined as follows: Protection; gender and diversity analysis; inclusion in emergency programming.",,Metrics,Number
126,WASH,WASH in emergencies,SP 3 -Health and wellbeing,"Percentage of surveyed people who, during the recovery phase, identify, without prompting, key times to wash hands.","Numerator: The number of surveyed individuals who correctly identify, without prompting, all key times to wash hands. Denominator: The total number of individuals surveyed. Critical Handwashing Times: after defecation, after changing child’s diapers / cleaning child after defecation, after cleaning the environment, before preparing food, and before eating food.",Response/recovery phase. SAD,People,Percentage
127,WASH,WASH in emergencies,SP 3 -Health and wellbeing,Number of communal or household toilets that have handwashing stations with evidence of use.,"Communal toilets: Shared sanitation facilities used by multiple households or community members. Household toilets: Private sanitation facilities used by individual households.Handwashing stations: Areas designated for handwashing, typically equipped with soap and water or other cleaning agents. This may include sinks, tippy taps, or other handwashing setups. Indicators of Use: Observable signs that the handwashing stations are being regularly used, such as presence of soap or handwashing agents, water availability in handwashing stations, clean and maintained handwashing area, ideally from direct observation during visits or inspections.",Response/recovery phase.,Metrics,Number
129,PGI,PGI,"SP 5 - Values, power and inclusion",Number of sectoral or PGI assessments conducted using the PGI Minimum Standards.,“Using” means that list of standards has been checked against using the relevant sector’s section(s) in the PGI minimum standards and the result of that assessment is included in the assessment report. Ideally and typically this would be using the tools based on the IFRC PGI minimum standards for emergency operations: 2.4 PGI assessment and analysis guidance; 2.4.1 PGI assessment question library.,Sector,PMEAL,Number
131,PGI,PGI,"SP 5 - Values, power and inclusion",Number of people trained on implementing the PGI Minimum Standards.,"“Trained” refers to any standard PGI training that includes one more module on guidance and exercises on the PGI Minimum Standards, and is provided by a qualified focal point, for a minimum of one day.",SAD,People,Number
132,PGI,PGI,"SP 5 - Values, power and inclusion",Percentage of operations which link to an existing referral pathway.,"Referral is “the process of directing a client to another service provider because s/he requires help that is beyond the expertise or scope of work of the current service provider [National Society or IFRC]. A referral can be made to a variety of services, for example, health, psycho-social activities, protection services, nutrition, education, shelter, material or financial assistance, physical rehabilitation, community centre and/ or a social service agency.” ”Referral pathway” is a mapping of that information that has been validated by a competent focal person within the operation (e.g. PSS delegate, PGI delegate, PGI focal point, Social Welfare Officer when applicable) who is responsible for updating referral pathways. “Linking” means the referral pathway can be used: for the referral pathways to be used, it is important that they are well communicated with the staff and volunteers who work directly in communities. Information, education and communication materials should be prepared to raise awareness among field staff and volunteers on how best to provide support to survivors. This should include details on when, how and where to signpost support for an individual who requires assistance, and how to request referral by staff trained in supporting survivors",,Metrics,Percentage
134,PGI,SGBV and child protection,"SP 5 - Values, power and inclusion","Number of referrals made for survivors of a protection violation, via a common referral pathway.","“Protection violation” refers to any incident of abuse, exploitation, violence, exclusion or other violation of fundamental rights. “Referral” is “the process of directing a client to another service provider because s/he requires help that is beyond the expertise or scope of work of the National Society or IFRC. A referral can be made to a variety of services, for example health, psychosocial activities, protection services, nutrition, education, shelter, material or financial assistance, physical rehabilitation, community centre and/ or a social service agency.” (from the Guidance on basic referral mapping and case management)
""safe referral mechanism” referes to referral mechanisms that meet the standards described in the IFRC guidance Guidance on basic referral mapping and case management and following the criteria in the Quality assurance checklist 
A ”referral pathway” is a mapping of that information that has been validated by a competent focal person within the operation (e.g. PSS delegate, PGI delegate, PGI focal point, Social Welfare Officer when applicable) who is responsible for updating referral pathways.",SAD,People,Number
135,PGI,PGI,"SP 5 - Values, power and inclusion",Number of target locations where a National Society has established safe spaces for people at particularly high risk.,"“People at particularly high risk” should be defined locally based on assessment, but may include female-headed households, orphans, people with disabilities older people, sexual and gender minorities, ethnic minorities etc. Refer to the IFRC PGI minimum standards for a complete definition of 'marginalised/excluded groups'.",,Communities,Number
137,PGI,SGBV and child protection,"SP 5 - Values, power and inclusion",Number of National Society’s Programmes that have completed the IFRC Child Safeguarding Risk Analysis.,The child safeguarding risk analysis refers to this tool: https://pgi.ifrc.org/resources/child-safeguarding-risk-analysis-tool,,NS,Number
138,PGI,SGBV and child protection,"SP 5 - Values, power and inclusion","Number of children participating in child-friendly consultations to help design, implement, and monitor any programme supporting children.",,"Sex, Gender, Age, Disability, ethnic background where possible",Metrics,Number
140,PGI,SGBV and child protection,"SP 5 - Values, power and inclusion",Number of target locations where the National Society is providing suitable response services for child survivors.,"“Suitable response services for child survivors” refers to services which are surivor-centred, child friendly, as well as gender-, age-, disability- and culturally sensitive (following basic guidance in the PGI minumum standards).",,Communities,Number
143,PGI,SGBV and child protection,"SP 5 - Values, power and inclusion","Percentage of unaccompanied and separated children (UASC) for whom identification/ documentation/ family tracing/reunification/prevention of further separation interventions, begins within 72 hours of registration.",Numerator: Number of UASC cases for which interventions initiated within 72 hours. Denominator: total UASC registered in the period.,SAD,People,Percentage
144,"PGI
Integrity and accountability","PGI
Integrity and accountability","SP 5 - Values, power and inclusion",Number of National Society staff screened by relevant local authorities for safeguarding risks.,"""Safeguarding risk"": any risk related to “our responsibility in taking action to: keep people safe from any form of harm caused by the misuse of power by making sure that our staff, volunteers, programmes and communications do no harm to children and adults, nor expose them to abuse or exploitation. Safeguarding also includes protecting staff and volunteers from harm and inappropriate behaviour such as sexual harassment.” “Screened by local authorities” refers to a vetting process which is reliable and non-discriminatory.",SAD,Staff,Number
150,"Health
PGI","SGBV and child protection
Emergency health services","SP 5 - Values, power and inclusion","Percentage of survivors of SGBV presenting to the National Society who are referred to appropriate medical, psychological or other support services within 72 hours of presentation.","Sexual and gender-based violence (SGBV): categories that include, but are not limited to, sexual violence, intimate partner violence, trafficking, forced/early marriage, sexual harassment, forced prostitution, femicide, female genital mutilation, sexual exploitation and abuse, and denial of resources, opportunities and services. “Appropriate services” refers to services from providers that have been vetted and validated as safe and inclusive, and therefore included in the referral pathway or other established mechanism.",SAD,People,Number
151,"PGI
Health
National society development","SGBV and child protection
MHPSS
National society development","SP 5 - Values, power and inclusion","Percentage of volunteers and staff trained on basic SGBV awareness and survivor-centred response, including receiving and managing sensitive SGBV (including safeguarding) -related disclosures.","Numerator: number of trained volunteers. Denominator: total number of registered volunteers. Sexual and gender-based violence (SGBV): categories that include, but are not limited to, sexual violence, intimate partner violence, trafficking, forced/early marriage, sexual harassment, forced prostitution, femicide, female genital mutilation, sexual exploitation and abuse, and denial of resources, opportunities and services. ""Trained” refers to to a minumum of three days training run by a PGI or other protection -related professional on the core principles of survivor-centred approaches, and covers the do’s and don’ts on disclosure from the Guidance on basic referral mapping and case management .",,Staff_Volunteers,Percentage
152,"Health
PGI","PGI
Emergency health services","SP 5 - Values, power and inclusion",Number of National Society health care facilities which have adopted protocols of clinical management of rape.,"Validated and approved protocols based on the WHO guidance on CMR The formal acceptance and implementation of specific clinical guidelines and procedures designed to manage and support rape survivors. These protocols typically include steps for medical treatment, psychological support, forensic examination, and referrals for additional services. Clinical Management of Rape: Comprehensive medical care provided to survivors of rape, including physical examination, treatment of injuries, prevention of sexually transmitted infections (STIs) and unwanted pregnancies, psychological support, and documentation for legal purposes.",,Services,Number
153,"Health
PGI","PGI
Emergency health services","SP 5 - Values, power and inclusion",Number of health staff trained on clinical management of rape.,"“Trained” refers to established and validated training provided by reputable agencies with specialised knowledge on SGBV and CMR in particular, e.g. the WHO guide & training on CMR, UNFPA.",,Staff,Number
155,"PGI
WASH","PGI
WASH","SP 5 - Values, power and inclusion","Number of safe, accessible and private bathing facilities which are culturally appropriate, constructed or rehabilitated by RCRC.","Rehabilitated: Existing bathing facilities upgraded or repaired to meet improved standards of safety, accessibility, privacy, and cultural appropriateness.",Response/recovery phase. Male/female,Metrics,Number
160,"PGI
Humanitarian diplomacy and communication","SGBV and child protection
Humanitarian diplomacy and communication","SP 5 - Values, power and inclusion",Number of National Society’s humanitarian diplomacy initiatives on prevention and response to SGBV and violence against children.,"Humanitarian Diplomacy Initiatives: Activities and efforts undertaken by National Societies to influence decision-makers, advocate for policy changes, and engage with stakeholders to address and mitigate SGBV and violence against children. These initiatives may include public campaigns, policy dialogues, legislative advocacy, and collaborations with government agencies and other organizations.",,Metrics,Number
161,"PGI
Integrity and accountability
National society development","PGI
Integrity and accountability
National society development","SP 5 - Values, power and inclusion",Number of National Societies that implementhumanitarian diplomacy initiatives promoting a safe and inclusive environment in state policies or legal frameworks.,"Humanitarian Diplomacy Initiatives: Activities and efforts undertaken by National Societies to influence decision-makers, advocate for policy changes, and promote legal frameworks that ensure safety, protection, and inclusion for all individuals. These initiatives may include advocacy campaigns, policy dialogue, legislative engagement, and collaboration with government agencies and other stakeholders. “Promoting a safe and inclusive environment” refers to addressing any issues that fall within the scope of the PGI policy, i.e. addressing the specific needs of “marignalised and excluded groups”. Those groups should be defined locally based on assessment, but may include female-headed households, orphans, people with disabilities older people, sexual and gender minorities, ethnic minorities etc. Refer to the IFRC PGI minimum standards for a complete definition of 'marginalised/excluded groups'",,NS,Number
162,"PGI
CEA","PGI
CEA","SP 5 - Values, power and inclusion",Number of safe and accessible referral pathways which are culturally appropriate.,"“Referral” is “the process of directing a client to another service provider because s/he requires help that is beyond the expertise or scope of work of the National Society or IFRC. A referral can be made to a variety of services, for example health, psychosocial activities, protection services, nutrition, education, shelter, material or financial assistance, physical rehabilitation, community centre and/ or a social service agency.” (from the Guidance on basic referral mapping and case management). A “referral pathway” is a mapping of that information that has been validated by a competent focal person within the operation (e.g. PSS delegate, PGI delegate, PGI focal point, Social Welfare Officer when applicable) who is responsible for updating referral pathways. “Safe and inclusive” means that it follows the guiding principles of the survivor centred approach: safety, confidentiality, non-discrimination & respect",Pathway type (TBD),Services,Number
163,"PGI
CEA","SGBV and child protection
CEA","SP 5 - Values, power and inclusion",Number of inviduals who have access to safe reporting and referral mechanisms for sexual exploitation and abuse and child safeguarding incidents.,"“Referral” is “the process of directing a client to another service provider because s/he requires help that is beyond the expertise or scope of work of the National Society or IFRC. A referral can be made to a variety of services, for example health, psychosocial activities, protection services, nutrition, education, shelter, material or financial assistance, physical rehabilitation, community centre and/ or a social service agency.” (from the Guidance on basic referral mapping and case management. ""Safe reporting and referral mechanism” referes to referral mechanisms that meet the standards described in the IFRC guidance Guidance on basic referral mapping and case management and following the criteria in the Quality assurance checklist",SAD,People,Number
164,"PGI
Integrity and accountability
National society development","SGBV and child protection
Integrity and accountability
National society development","SP 5 - Values, power and inclusion",Number of RCRC staff and volunteers trained on prevention and protection of sexual exploitation and abuse (PSEA) and or all forms of child safeguarding.,"Prevention and Response to Sexual Exploitation and Abuse (PSEA): policy, rules and actions intended to prevent Personnel from engaging in any form of sexual exploitation and abuse and to respond where it has occurred.",,Staff_Volunteers,Number
165,"PGI
National society development","SGBV and child protection
National society development","SP 5 - Values, power and inclusion",Number of National Societies who have adopted a child safeguarding policy to to enforce prevention and support survivors.,"“Child safeguarding policy” refers to a policy which clearly outlines the broad obligation on personnel, partners, suppliers, and contractors to ensure that the design and delivery of programmes and organisational operations do not expose children to adverse impacts, including the risk of violence, abuse, exploitation, or neglect and that any concerns about children’s safety within the communities where they work are appropriately reported.",SAD,NS,Number
166,"PGI
Integrity and accountability
National society development","SGBV and child protection
Integrity and accountability
National society development","SP 5 - Values, power and inclusion",Percentage of National Society programmes which conducted the IFRC child safeguarding risk analysis.,The child safeguarding risk analysis refers to this tool: https://pgi.ifrc.org/resources/child-safeguarding-risk-analysis-tool.,Sector,Programme,Number
168,"PGI
National society development
Integrity and accountability","PGI
National society development
Integrity and accountability","SP 5 - Values, power and inclusion",Number of National Societies which have a safeguarding focal person.,"“focal person” means a member of staff who has clearly designated responsibilities to ensure sufficient safeguarding measures are in place, but does not necessarily have to be a dedicated role.",,NS,Number
174,"CEA
Cash and voucher assistance
Climate and environment
Coordination and cooperation
Digital transformation
Disaster Law
Disaster risk reduction
Education
Food security and livelihoods
Health
Humanitarian diplomacy and communication
Humanitarian values and principles
Innovation
Integrity and accountability
Migration
National society development
NS disaster management capacity
PGI
Relief and recovery
Resource mobilisation
Shelter
Volunteering and youth
WASH","CEA
Cash and voucher assistance
Multipurpose voucher assistance
Unconditional cash
Climate change adaptation
Environmental sustainability
External coordination
Membership coordination
Movement cooperation
Digital transformation
Disaster Law
Disaster risk reduction
Education
Food security
Livelihoods
Ambulance services
Blood services
Emergency health services
Epidemic preparedness and response
First aid
Health promotion services
Health services
Health strategy, policy and advocacy
Immunization
MHPSS
Nutrition
Social care
Humanitarian diplomacy and communication
Humanitarian values and principles
Innovation
Integrity and accountability
Migration (assistance)
Migration (NS capacity)
National society development
NS disaster management capacity
Inclusion
PGI
Restoring family links
SGBV and child protection
Relief and recovery
Resource mobilisation
Shelter
Volunteering and youth
WASH
WASH in emergencies
Conditional cash","SP 5 - Values, power and inclusion","Number of methods established to communicate with communities about what is happening in the organisation/programme/operation, including selection criteria if these are being used.","Number of different methods / approaches or channels for sharing and discussing information about what we are doing with community members. For example, house-to-house visits, community meetings, information desks, mobile cinemas, community theatre, FGDs, megaphones, sound trucks, leaflets/posters/wall murals, noticeboards, radio shows, radio spots, telephone hotlines, messaging apps (WhatsApp, Telegram etc), social media, SMS, chatbots, TV shows, TV spots, newspapers. Indicator used to track if programmes and operations and organisations are putting in place mechanisms to share information with communities.",,Organization,Number
181,CEA,CEA,"SP 5 - Values, power and inclusion","Percentage of people surveyed who trust the organisation to put the people it supports and their needs first, above anything else.","Question: Do you think [insert NS name] puts the people it supports and their needs first, above anything else? a. Yes completely b. Mostly yes c. Not so much d. Not at all e. Don’t know. Percentage of all people surveyed who answer yes completely or mostly yes to the survey question. Indicator is a measure of humanity / goodwill value within the Community Trust Index and can be used as a standalone question if full Trust Index is not being implemented yet.",SAD,People,Percentage
182,CEA,CEA,"SP 5 - Values, power and inclusion","Percentage of people surveyed who say they trust the information and services provided by the organisation (option to add about climate, early warning, health, hygiene, disaster risk reduction etc).","Percentage of all people surveyed who answer yes completely or mostly yes to the survey question. Do you trust the information and services provided by <insert name of National Society> about…(list issues being tackled)? If not, why not? 5-point Likert scale. 1=Not at all, 2=Not very much, 3=Somewhat, 4=Mostly yes, 5=Yes completely. Indicator helps to track levels of community trust in the services and information provided by Movement partners.",SAD,People,Percentage
